Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Ray Allen,1m96,29,78,23.9,4.4,3.7
Rashard Lewis,2m09,25,71,20.5,5.5,1.3
Vladimir Radmanovic,2m06,24,63,11.8,4.6,1.4
Antonio Daniels,1m94,29,75,11.2,2.3,4.1
Luke Ridnour,1m86,23,82,10,2.5,5.9
Danny Fortson,2m01,28,62,7.5,5.6,0.1
Ronald Murray,1m91,25,49,7,2,1.3
Damien Wilkins,2m00,24,29,6.3,2.3,0.9
Nick Collison,2m07,24,82,5.6,4.6,0.4
Jerome James,2m16,29,80,4.9,3,0.2
Reggie Evans,2m04,24,79,4.9,9.3,0.7
Vitaly Potapenko,2m09,29,33,3.5,2.4,0.3
Robert Swift,2m16,19,16,0.9,0.3,0.1
Mateen Cleaves,1m89,27,14,0.9,0.4,0.5
Ibrahim Kutluay,1m98,30,5,0,0.2,0
